ObjectID,GlobalID,Plot,Specify other.,% Living Plant Cover,% thatch cover,% Bare Ground,% Living natives,% Living non-natives,Thatch depth (inches),Date of last rain,Inches of last rain,Herbivory on natives,Herbivory on non natives,Number of animal burrows,Entered Species,Total percent cover,lat,lon,Coordinates,Elevation,Date and Time,notes,Your initials,CreationDate,Creator,EditDate,Editor,Soil Moisture,Control,Control,x,y
99,b923b98b-5600-4509-871c-faa5e1f9eb5a,4D,,90,8,2,,,1,,,no,no,27,"Corethrogyne_filaginifolia: 5%, Stipa_pulchra: 20%, Artemisia_californica: 3%, Isocoma_menziesii: 1%, Brachypodium_distachyon: %, Lacticu_serriola: 1%, Deinandra_fasciculata: 8%, Avena_barbata_or_fatua: %, Bromus_hordeaceus: %, Bromus_diandrus: 2%, Erodium_botrys: 5%, Silene_gallica: %, Hypochaeris_glabra: %, Trifolium_hirtum: %, other: %, Medicago_polymorpha: %, other: 2%, Lysimachia_arvensis: %, : %, : %, : %, Festuca_bromoides: 1%, : %, ",100%,34.46048586166879,-119.75490465771384,"34.46048586166879, -119.75490465771384",,8/4/2023 7:48:00 PM,,Wm,8/4/2023 8:11:11 PM,CIR_FieldTech1,8/4/2023 8:11:11 PM,CIR_FieldTech1,,,,-119.754904657714,34.4604858616688
100,da972fcb-147c-4988-84d8-9212f9d23654,4B,,75,20,,37,,1,,,yes,yes,115,"Croton_setigerus: %, Corethrogyne_filaginifolia: %, Erodium_botrys: %, Artemisia_californica: %, Avena_barbata_or_fatua: %, Isocoma_menziesii: %, other: %, Sonchus_oleraceus: %, Silene_gallica: %, Hypochaeris_glabra: %, Plantago_lanceolata: %, Lacticu_serriola: %, Hirschfeldia_incana: %, Vicia_sativa: %, Bromus_hordeaceus: %, Bromus_diandrus: %, other: %, Lupinus_succulentus: %, Deinandra_fasciculata: 20%, Stipa_pulchra: %, Brachypodium_distachyon: %, : %, ",100%,,,", ",,8/4/2023 8:04:00 PM,,"EM, AM",8/4/2023 8:52:47 PM,CIRArcGIS,8/4/2023 8:52:47 PM,CIRArcGIS,,,,0,0
101,fd39bb3b-c1dc-4486-8fee-b36b9864ea07,4A,,94,1,5,63,,2,,,yes,no,2,"Avena_barbata_or_fatua: 1%, Bromus_diandrus: %, Brachypodium_distachyon: 32%, Bromus_madritensis: 1%, Deinandra_fasciculata: 30%, Erodium_botrys: 1%, Plantago_lanceolata: %, Isocoma_menziesii: %, Stipa_pulchra: 15%, other: 17%, Trifolium_hirtum: 2%, : %, ",100%,,,", ",,8/4/2023 8:55:00 PM,"different species right by post- all ripgut, oat, most red brome within 2 ft","EM, AM",8/4/2023 9:17:37 PM,CIRArcGIS,8/4/2023 9:17:37 PM,CIRArcGIS,,,,0,0
102,92afd3af-99c3-4f1b-8c71-87fa4e8728d9,4C,,90,7,3,13,,2,,,yes,yes,140,"Ambrosia_psilostachya: %, Avena_barbata_or_fatua: 3%, Brachypodium_distachyon: 25%, Bromus_diandrus: 4%, Convolvulus_arvensis: 1%, Croton_setigerus: 5%, Deinandra_fasciculata: 3%, Erodium_botrys: 15%, Festuca_perennis: 20%, Lacticu_serriola: %, Silene_gallica: %, Sonchus_oleraceus: %, Stipa_pulchra: 5%, Vicia_sativa: 1%, Lysimachia_arvensis: 15%, : %, ",100%,,,", ",,8/4/2023 9:24:00 PM,"EM, AM","EM, AM",8/4/2023 9:51:10 PM,CIRArcGIS,8/4/2023 9:51:10 PM,CIRArcGIS,,,,0,0
103,4b670676-de6a-4ae0-8a70-61aa798e9b07,0A,,97,0,,0,,,,,,,,": %, ",undefined%,34.36768055,-118.98099827,"34.36768055, -118.98099827",,10/9/2023 8:25:00 PM,Test,Em,10/9/2023 8:27:21 PM,CIRArcGIS,10/9/2023 8:27:21 PM,CIRArcGIS,,,,-118.98099827,34.36768055
104,94dbfbd6-18cb-4a0f-9244-285c4e10934c,WM-1,,97,3,,0,,,,,,,,": %, ",undefined%,34.36766548,-118.9810094,"34.36766548, -118.9810094",,10/9/2023 8:28:00 PM,Test,Em,10/9/2023 8:28:38 PM,CIRArcGIS,10/9/2023 8:28:38 PM,CIRArcGIS,,,,-118.9810094,34.36766548
105,a34de496-8bfd-4eb7-80bb-7ccabed8c5e7,WM-1,,33,33,,33,,,,,,,,": %, ",undefined%,,,", ",,10/9/2023 8:28:00 PM,Test,Em,10/9/2023 8:29:34 PM,CIRArcGIS,10/9/2023 8:29:34 PM,CIRArcGIS,,,,0,0
113,61928629-3fc3-4562-935f-a0e225697a65,3E,,90,2,8,33,67,0.5,,,yes,yes,76,"Amsinckia_intermedia: %, Bromus_diandrus: %, Croton_setigerus: %, Erigeron_canadensis: 30%, Lysimachia_arvensis: 30%, Silene_gallica: %, Sonchus_asper: %, Hirschfeldia_incana: 3%, other: 2%, other: 4%, Centaurea_melitensis: %, Pseudognaphalium_luteoalbum: %, other: %, other: %, ",100%,34.462828278752916,-119.75862192914192,"34.462828278752916, -119.75862192914192",,6/24/2024 3:51:00 PM,CIR team,VK,6/24/2024 5:15:03 PM,CIR_FieldTech4,6/24/2024 5:15:03 PM,CIR_FieldTech4,,no,,-119.758621929142,34.4628282787529
114,ed63f6b1-b6e4-4b3f-87c9-b7183870a8b2,WM-1,,97,3,0,0,100,0.5,,,no,yes,16,NaN,NaN,0,0,NaN,,7/13/2023 8:53:00 PM,CIR team,VK,7/3/2024 9:08:26 PM,CIR_FieldTech4,7/3/2024 9:12:58 PM,CIR_FieldTech4,,no,,0,0
115,19c3d51e-0c6c-4d7a-8ca2-2012ee5633fd,WM-2,,90,7,3,0,100,1,,,no,no,42,NaN,NaN,,,NaN,,7/5/2023 9:10:00 PM,CIR team,VK,7/3/2024 9:31:07 PM,CIR_FieldTech4,7/3/2024 9:31:07 PM,CIR_FieldTech4,,no,,0,0
116,e9ec2a9e-8843-4c52-8c58-609befd36c97,WM-16,,90,2,8,24,76,1,,,no,no,85,NaN,NaN,,,NaN,,7/5/2023 9:31:00 PM,CIR team,VK,7/3/2024 9:49:10 PM,CIR_FieldTech4,7/3/2024 9:49:10 PM,CIR_FieldTech4,,no,,0,0
117,05573942-c890-4903-8ce5-8a22a940837a,WM-15,,90,10,0,0,100,0.75,,,,yes,39,NaN,NaN,,,NaN,,7/17/2023 9:49:00 PM,CIR team,VK,7/3/2024 9:53:43 PM,CIR_FieldTech4,7/3/2024 9:53:43 PM,CIR_FieldTech4,,no,,0,0
118,d7971dcc-c575-47cd-80ec-78042098c3ea,WM-3,,89,6,5,67,33,0.5,,,no,no,35,NaN,NaN,,,NaN,,7/13/2023 9:55:00 PM,CIR team,VK,7/3/2024 10:11:47 PM,CIR_FieldTech4,7/3/2024 10:11:47 PM,CIR_FieldTech4,1,no,,0,0
119,4c8b1c7a-9bf9-45e7-8771-ee001b76fcaf,WM-5,,93,5,2,10,90,0.5,,,no,no,21,NaN,NaN,,,NaN,,7/13/2023 10:11:00 PM,CIR team,VK,7/3/2024 10:23:45 PM,CIR_FieldTech4,7/3/2024 10:23:45 PM,CIR_FieldTech4,1.5,no,,0,0
120,e7ab8087-9529-4e68-84b7-1accff46a0fd,WM-7,,85,5,10,0,100,0.5,,,no,no,50,NaN,NaN,,,NaN,,7/13/2023 10:23:00 PM,CIR team,VK,7/3/2024 10:27:54 PM,CIR_FieldTech4,7/3/2024 10:27:54 PM,CIR_FieldTech4,1.5,no,,0,0
121,3a51acb0-74d3-4b02-8788-ecd205b216ad,WM-13,,95,4,1,0,100,0.5,,,no,no,14,NaN,NaN,,,NaN,,7/13/2023 10:28:00 PM,CIR team,VK,7/3/2024 10:32:11 PM,CIR_FieldTech4,7/3/2024 10:32:11 PM,CIR_FieldTech4,1.5,no,,0,0
122,6df23781-bef9-4580-8587-74ad0a0b9c62,WM-6,,98,0,2,6,94,0.75,,,yes,yes,13,NaN,NaN,,,NaN,,7/13/2023 10:37:00 PM,CIR team,VK,7/3/2024 10:44:33 PM,CIR_FieldTech4,7/3/2024 10:44:33 PM,CIR_FieldTech4,2.2,no,,0,0
123,3a5fcd7d-0b71-46d6-8eec-d1bf56df6366,WM-8,,85,7,8,0,100,0.75,,,yes,yes,69,NaN,NaN,,,NaN,,7/14/2023 1:19:00 AM,CIR team,VK,7/4/2024 1:32:00 AM,CIR_FieldTech4,7/4/2024 1:32:00 AM,CIR_FieldTech4,1.9,no,,0,0
124,d2a5b9ed-5f8a-46dc-89b5-2269ebc9901b,WM-11,,92,3,5,82,18,1,,,yes,yes,94,NaN,NaN,,,NaN,,7/14/2023 1:32:00 AM,CIR team,VK,7/4/2024 1:57:34 AM,CIR_FieldTech4,7/4/2024 1:57:34 AM,CIR_FieldTech4,2,no,,0,0
126,fbf03416-4318-460a-874b-495fa413e1e0,WM-4,,90,5,5,46,54,0.25,,,yes,no,33,NaN,NaN,0,0,NaN,,7/14/2023 2:03:00 AM,CIR team,VK,7/4/2024 2:15:08 AM,CIR_FieldTech4,7/4/2024 9:51:11 PM,CIR_FieldTech4,1.5,no,,0,0
128,a9e82c00-93d3-482a-8f95-ab8be2df9f1d,WM-9,,93,5,2,67,33,1,,,no,yes,26,NaN,NaN,,,NaN,,7/17/2023 10:23:00 PM,CIR team,VK,7/4/2024 10:27:17 PM,CIR_FieldTech4,7/4/2024 10:27:17 PM,CIR_FieldTech4,1,no,,0,0
129,62a68d98-926a-43ff-8858-9691b5d7733f,WM-10,,54,30,16,0,100,1.5,,,no,no,44,NaN,NaN,,,NaN,,7/17/2023 10:27:00 PM,CIR team,VK,7/4/2024 10:33:25 PM,CIR_FieldTech4,7/4/2024 10:33:25 PM,CIR_FieldTech4,1.5,no,,0,0
130,36ec6ce0-2b90-474e-81c6-7d192caa2b2d,WM-12,,97,1,2,0,100,0.5,,,,yes,16,NaN,NaN,,,NaN,,7/17/2023 10:33:00 PM,CIR team,VK,7/4/2024 10:45:24 PM,CIR_FieldTech4,7/4/2024 10:45:24 PM,CIR_FieldTech4,2,no,,0,0
131,86b5be8e-61a9-4534-8556-6284bb8044fe,WM-14,,85,7,8,0,100,1,,,,no,3,NaN,NaN,,,NaN,,7/13/2023 10:45:00 PM,CIR team,VK,7/4/2024 10:48:42 PM,CIR_FieldTech4,7/4/2024 10:48:42 PM,CIR_FieldTech4,2,no,,0,0
132,1cfdfc4f-aec5-421a-9250-88e5dce00cb4,WM-4,,98,0,2,42,58,0.5,,,no,no,76,"Stipa_pulchra: 40%, Avena_barbata_or_fatua: 45%, Deinandra_fasciculata: 2%, Chlorogalum_pomeridianum: %, Brachypodium_distachyon: 5%, Hirschfeldia_incana: %, Bromus_hordeaceus: 8%, Vicia_sativa: %, Artemisia_californica: %, Erodium_botrys: %, Hypochaeris_glabra: %, Sonchus_asper: %, ",100%,34.46007713291113,-119.76894289678364,"34.46007713291113, -119.76894289678364",,7/10/2024 5:22:00 PM,CIR team,VK,7/10/2024 5:47:57 PM,CIR_FieldTech4,7/10/2024 5:47:57 PM,CIR_FieldTech4,,no,,-119.768942896784,34.4600771329111
133,6bc88237-30f1-42d2-9c66-fb2e221d066a,WM-15,,99,0,1,0,100,0,,,no,no,39,"Convolvulus_arvensis: 1%, Avena_barbata_or_fatua: 98%, Bromus_diandrus: 1%, Brachypodium_distachyon: %, ",100%,34.461083469670534,-119.764874405735,"34.461083469670534, -119.764874405735",,7/10/2024 6:04:00 PM,CIR team,VK,7/10/2024 6:23:01 PM,CIR_FieldTech4,7/10/2024 6:23:01 PM,CIR_FieldTech4,,no,,-119.764874405735,34.4610834696705
134,d8afaa1e-e87f-4de9-a15e-96fb9913c11a,WM-17,,100,0,0,20,80,0,,,no,no,49,"Stipa_pulchra: 20%, Vicia_sativa: 2%, Erodium_botrys: 1%, Avena_barbata_or_fatua: %, Brachypodium_distachyon: 75%, Plantago_erecta: 2%, Isocoma_menziesii: %, Festuca_perennis: %, Sisyrinchium_bellum: %, Bloomeria_crocea: %, Lysimachia_arvensis: %, ",100%,34.46189584197143,-119.76536423896982,"34.46189584197143, -119.76536423896982",,7/10/2024 8:24:00 PM,CIR team,VK,7/10/2024 9:54:59 PM,CIR_FieldTech4,7/10/2024 9:54:59 PM,CIR_FieldTech4,,no,,-119.76536423897,34.4618958419714
135,cab365b4-bbb8-48d0-ba7f-65d627d3fcbc,WM-14,,98,0,2,0,100,0,,,no,no,73,"Festuca_perennis: %, Avena_barbata_or_fatua: 1%, Brachypodium_distachyon: 75%, Brassica_nigra: 20%, other: 3%, Vicia_sativa: %, ",100%,34.462628318028955,-119.76543819542952,"34.462628318028955, -119.76543819542952",,7/10/2024 8:56:00 PM,CIR team,VK,7/10/2024 9:55:22 PM,CIR_FieldTech4,7/10/2024 9:55:22 PM,CIR_FieldTech4,,no,,-119.76543819543,34.462628318029
136,2fee3ee4-9202-4b62-bbb7-1ea90bee0bf5,WM-13,,100,0,0,0,100,0,,,no,no,39,"Avena_barbata_or_fatua: 90%, Lysimachia_arvensis: %, Bromus_madritensis: 1%, Festuca_perennis: 2%, Hordeum_murinum: %, Medicago_polymorpha: %, Erodium_botrys: 1%, Brachypodium_distachyon: %, Bromus_diandrus: 5%, Silene_gallica: %, ",100%,34.46268902930616,-119.767243849861,"34.46268902930616, -119.767243849861",,7/10/2024 9:55:00 PM,CIR team,VK,7/11/2024 12:03:42 AM,CIR_FieldTech4,7/11/2024 12:03:42 AM,CIR_FieldTech4,,no,,-119.767243849861,34.4626890293062
138,eaabce5e-2055-4f5f-a7ea-5ad3a9fb185f,8B,,93,5,2,42,58,0.5,,,yes,yes,28,"Hypochaeris_glabra: %, Silene_gallica: %, Sonchus_oleraceus: %, Stipa_pulchra: %, Acmispon_glaber: %, Artemisia_californica: 2%, Avena_barbata_or_fatua: %, Amsinckia_intermedia: %, Bloomeria_crocea: %, Brachypodium_distachyon: %, Bromus_hordeaceus: %, Erodium_botrys: %, Festuca_perennis: %, Festuca_myuros: %, Lysimachia_arvensis: %, other: %, ",100%,34.46222222222222,-119.75555555555556,"34°27’44”N, 119°45’20”W",,6/26/2024 4:05:00 PM,CIR team,VK,7/17/2024 6:17:31 PM,CIR_FieldTech4,7/17/2024 6:17:31 PM,CIR_FieldTech4,,no,,-119.755555555556,34.4622222222222
139,f2cc4642-eda1-4330-b1b1-9ceddee52f5b,4B,,92,5,3,48,52,0.5,,,no,yes,72,"Avena_barbata_or_fatua: %, Brachypodium_distachyon: %, Bromus_diandrus: %, Bromus_hordeaceus: %, Corethrogyne_filaginifolia: %, Erodium_botrys: %, Festuca_perennis: %, Foeniculum_vulgare: %, Sisyrinchium_bellum: %, Sonchus_oleraceus: %, Stipa_pulchra: %, Vicia_sativa: %, Isocoma_menziesii: %, Baccharis_pilularis: %, Lacticu_serriola: %, other: %, Plantago_lanceolata: %, other: %, other: %, Festuca_myuros: %, ",100%,34.460277777777776,-119.75416666666666,34°27’37”N 119°45’15”W,,6/26/2024 3:50:00 PM,CIR team,VK,7/17/2024 6:19:37 PM,CIR_FieldTech4,7/17/2024 6:19:37 PM,CIR_FieldTech4,,no,,-119.754166666667,34.4602777777778
140,1b709b60-3efa-4173-a7d1-d0c3cca37b47,2B,,88,6,6,10,90,0.5,,,no,yes,83,"Amsinckia_intermedia: %, Avena_barbata_or_fatua: %, Bromus_diandrus: 32%, Erodium_botrys: 26%, Erigeron_canadensis: 2%, Lysimachia_arvensis: 1%, Malva_parviflora: %, Silene_gallica: 30%, Sonchus_asper: %, Sonchus_oleraceus: %, Stipa_pulchra: %, Vicia_sativa: %, Deinandra_fasciculata: %, Festuca_myuros: %, Hirschfeldia_incana: %, other: %, Lacticu_serriola: %, other: 1%, other: %, ",100%,34.46193169,-119.75930934,"34.46193169, -119.75930934",,6/26/2024 6:15:00 PM,CIR team,VK,7/17/2024 9:04:59 PM,CIR_FieldTech4,7/17/2024 9:04:59 PM,CIR_FieldTech4,,no,,-119.75930934,34.46193169
141,827b8d80-038a-477b-adc7-987122f9ff7e,2A,,94,5,1,77,23,0.75,,,no,yes,57,"Sonchus_oleraceus: 1%, Stipa_pulchra: 33%, Vicia_sativa: 15%, Deinandra_fasciculata: 40%, Ambrosia_psilostachya: 1%, Artemisia_californica: 1%, Avena_barbata_or_fatua: 2%, Brachypodium_distachyon: %, Bromus_diandrus: %, Bromus_hordeaceus: %, Croton_setigerus: 2%, Erodium_botrys: %, Festuca_perennis: 5%, Festuca_myuros: %, Lacticu_serriola: %, Trifolium_hirtum: %, Lupinus_bicolor: %, other: %, Centaurea_melitensis: %, ",100%,34.461666666666666,-119.75972222222222,"34°27’42”N, 119°45’35”W",,6/26/2024 7:05:00 PM,CIR team,VK,7/17/2024 9:42:04 PM,CIR_FieldTech4,7/17/2024 9:42:04 PM,CIR_FieldTech4,,no,,-119.759722222222,34.4616666666667
142,3cac5d7d-0a1c-498b-af9d-f13b122d7617,2B,,35,63,,5,,1,7/13/2024 7:00:00 PM,0.1,yes,yes,25,"Lacticu_serriola: %, Plantago_erecta: %, Brachypodium_distachyon: %, Bromus_hordeaceus: %, Stipa_pulchra: %, Avena_barbata_or_fatua: %, Hazardia_squarrosa: %, Deinandra_fasciculata: %, Baccharis_pilularis: %, other: %, Artemisia_californica: 1%, Corethrogyne_filaginifolia: 1%, Brassica_nigra: 1%, Sonchus_asper: 1%, Lysimachia_arvensis: 1%, Sisyrinchium_bellum: 1%, Vicia_sativa: 2%, other: 1%, : %, ",100%,34.46012769,-119.7542236,"34.46012769, -119.7542236",,7/26/2024 3:52:00 PM,,"EM, ZE, NR",7/26/2024 4:40:15 PM,CIRArcGIS,7/26/2024 4:40:15 PM,CIRArcGIS,,no,,-119.7542236,34.46012769
143,2d21e198-19b6-428e-b347-8340978f14d2,4B,,35,63,,5,,1,7/13/2024 7:00:00 PM,0.1,yes,yes,25,"Lacticu_serriola: 20%, Plantago_erecta: %, Brachypodium_distachyon: %, Bromus_hordeaceus: %, Stipa_pulchra: %, Avena_barbata_or_fatua: %, Hazardia_squarrosa: %, Deinandra_fasciculata: %, Baccharis_pilularis: %, other: %, Artemisia_californica: 1%, Corethrogyne_filaginifolia: 1%, Brassica_nigra: 1%, Sonchus_asper: 1%, Lysimachia_arvensis: 1%, Sisyrinchium_bellum: 1%, Vicia_sativa: 2%, other: 1%, : %, ",100%,34.46012769,-119.7542236,"34.46012769, -119.7542236",,7/26/2024 3:52:00 PM,,"EM, ZE, NR",7/26/2024 4:41:50 PM,CIRArcGIS,7/26/2024 4:41:50 PM,CIRArcGIS,,no,,-119.7542236,34.46012769
144,e5b12abf-618e-40e5-aeb5-f142d258cf69,8B,,40,59,,40,,3,7/13/2024 7:00:00 PM,0.1,no,no,20,"Stipa_pulchra: 40%, Sisyrinchium_bellum: 1%, Acmispon_glaber: 1%, Artemisia_californica: 4%, Bloomeria_crocea: 1%, Deinandra_fasciculata: 1%, Brachypodium_distachyon: 30%, Bromus_hordeaceus: 5%, Avena_barbata_or_fatua: 4%, Sonchus_oleraceus: 1%, Erodium_botrys: 5%, other: 1%, Lysimachia_arvensis: 1%, Medicago_polymorpha: 1%, : %, ",100%,34.46214138,-119.75543946,"34.46214138, -119.75543946",,7/26/2024 5:17:00 PM,,"EM, ZE, NR",7/26/2024 5:44:52 PM,CIRArcGIS,7/26/2024 5:44:52 PM,CIRArcGIS,,no,,-119.75543946,34.46214138
145,2b9fdfbc-3125-4e5b-8365-9f5a54d1269d,WM-2,,96,3,,0,100,0.5,7/26/2024 6:37:40 PM,0.1,no,yes,7,"Avena_barbata_or_fatua: 30%, Sonchus_oleraceus: 1%, Festuca_myuros: 27%, Erodium_botrys: 30%, Brassica_nigra: 2%, Convolvulus_arvensis: 3%, Festuca_perennis: 3%, : %, ",100%,34.45912264,-119.76745149,"34.45912264, -119.76745149",,7/26/2024 6:25:00 PM,"Fell down, we stood it up. May have moved slightly","EM, ZE, NR",7/26/2024 6:51:03 PM,CIRArcGIS,7/26/2024 6:51:03 PM,CIRArcGIS,,no,,-119.76745149,34.45912264
146,dc4e367d-e6dd-4e45-b48c-90bcd83f0669,WM-1,,35,63,,4,,1.5,1/6/2025 4:46:27 PM,,yes,yes,11,"Brassica_nigra: 16%, Avena_barbata_or_fatua: 40%, other: 3%, other: 1%, Bromus_diandrus: 40%, : %, ",100%,,,,,1/6/2025 4:38:00 PM,,"Lh,pc,bm,tt,em",1/6/2025 5:03:46 PM,CIRArcGIS,1/6/2025 5:03:46 PM,CIRArcGIS,,no,,0,0
147,4f5efcf4-f35e-4cc3-9021-c832fafc4bcd,WM-2,,20,65,,,,1.5,,,,yes,11,"Avena_barbata_or_fatua: 35%, Convolvulus_arvensis: 1%, Erodium_botrys: 45%, Bromus_diandrus: 19%, : %, ",100%,,,", ",,1/6/2025 5:14:00 PM,Birds using pole as perch. Burrows finger diameter.,"Pc, em",1/6/2025 5:29:03 PM,CIRArcGIS,1/6/2025 5:29:03 PM,CIRArcGIS,,no,,0,0
148,384affe8-dcf8-473e-b962-d46d5057c08c,WM-16,,15,55,30,75,25,0.5,,,yes,no,67,"Stipa_pulchra: 50%, other: 25%, Artemisia_californica: 15%, Pseudognaphalium_californicum: 5%, Chlorogalum_pomeridianum: 3%, Croton_setigerus: 0%, other: 0%, Sisyrinchium_bellum: 1%, Convolvulus_arvensis: 0%, other: 1%, Sonchus_asper: 0%, ",100%,,,,,1/6/2025 5:25:00 PM,,TT BM LH,1/6/2025 5:54:30 PM,CIR_FieldTech1,1/6/2025 5:54:30 PM,CIR_FieldTech1,,no,,0,0
149,7dfc03ec-0d54-48ba-8c18-806efa2b8903,WM-3,,35,35,,97,3,1.5,,,yes,yes,32,"Artemisia_californica: %, Pseudognaphalium_californicum: 15%, Croton_setigerus: 27%, other: 3%, Stipa_pulchra: 10%, Erodium_botrys: 2%, Euthamia_occidentalis: 2%, Convolvulus_arvensis: 1%, : %, ",100%,,,", ",,1/6/2025 5:35:00 PM,,"Pc, em",1/6/2025 5:55:09 PM,CIRArcGIS,1/6/2025 5:55:09 PM,CIRArcGIS,,no,,0,0
150,d9db497d-adda-497a-9669-d4e687c8d347,WM-4,,50,8,,,,2,,,no,no,9,"Stipa_pulchra: 70%, Artemisia_californica: 2%, Euthamia_occidentalis: 1%, Silene_gallica: 1%, Erodium_botrys: 10%, Bromus_hordeaceus: 10%, Avena_barbata_or_fatua: 5%, Pseudognaphalium_californicum: 1%, : %, ",100%,,,", ",,1/6/2025 6:30:00 PM,Ungrazed control,"pc, em, lh",1/6/2025 6:50:32 PM,CIRArcGIS,1/6/2025 6:50:32 PM,CIRArcGIS,,no,,0,0
151,6298ecb7-c558-4364-b2f8-8b23f6f2aa7e,WM-6,,35,40,25,21,79,0.25,,,yes,no,64,"Stipa_pulchra: 15%, Avena_barbata_or_fatua: 40%, Bromus_diandrus: 35%, Croton_setigerus: 5%, Asclepias_fascicularis: 1%, Erodium_cicutarium: 4%, Chlorogalum_pomeridianum: 0%, other: 0%, ",100%,,,,,1/6/2025 6:34:00 PM,,,1/6/2025 6:58:01 PM,CIR_FieldTech1,1/6/2025 6:58:01 PM,CIR_FieldTech1,,no,,0,0
152,64f1a7c9-e4ac-423e-906d-e2afd3c55e92,WM-5,,20,45,,34,,1,,,yes,yes,47,"Stipa_pulchra: 30%, Erodium_botrys: 34%, Bromus_diandrus: 30%, Convolvulus_arvensis: 1%, Avena_barbata_or_fatua: %, other: 1%, Croton_setigerus: %, : %, ",100%,,,", ",,1/6/2025 6:54:00 PM,Some finger sized burrows,"Em, pc, wm",1/6/2025 7:16:10 PM,CIRArcGIS,1/6/2025 7:16:10 PM,CIRArcGIS,,no,,0,0
153,03766da2-6ff1-4475-b255-9f3ac715e905,WM-7,,60,30,,,,1,,,yes,yes,59,"Avena_barbata_or_fatua: 27%, Bromus_diandrus: 26%, Convolvulus_arvensis: 40%, Erodium_botrys: 5%, other: 1%, other: 1%, : %, ",100%,,,", ",,1/6/2025 7:16:00 PM,"Bald spot by pole maybe from sheep scratching, birds perching/pooping from pole too.","Wm, pc, lh, em",1/6/2025 7:32:02 PM,CIRArcGIS,1/6/2025 7:32:02 PM,CIRArcGIS,,no,,0,0
154,2bfe0b64-fbcd-4229-aa23-42b7d65300da,other,Near WM 18,67,25,8,1,99,0.75,,,yes,yes,43,"Brassica_nigra: 32%, Hirschfeldia_incana: 25%, Croton_setigerus: 1%, Festuca_myuros: 30%, other: 0%, Avena_barbata_or_fatua: 10%, other: 0%, Sonchus_asper: 0%, Rumex_crispus: %, ",100%,,,", ",,1/6/2025 7:04:00 PM,Difficult to differentiate mustards,TT BM,1/6/2025 7:34:17 PM,CIR_FieldTech1,1/6/2025 7:34:17 PM,CIR_FieldTech1,,no,,0,0
155,e78c2da6-ec1c-47b2-a6b1-dcdfde5d2142,WM-8,,30,65,,,,1.5,,,yes,yes,93,"Stipa_pulchra: %, Asclepias_fascicularis: %, Sisyrinchium_bellum: %, Convolvulus_arvensis: %, Brachypodium_distachyon: %, Erodium_botrys: %, : %, ",100%,,,", ",,1/6/2025 7:56:00 PM,Replacement pole,"Lh, wm, pc, em",1/6/2025 8:02:07 PM,CIRArcGIS,1/6/2025 8:02:07 PM,CIRArcGIS,,no,,0,0
156,89e707fc-1afa-4ce0-9584-9c014f710762,WM-18,,28,69,3,18,82,2,,,no,yes,50,"Avena_barbata_or_fatua: 33%, Artemisia_californica: 1%, Stipa_pulchra: 10%, other: 3%, Hirschfeldia_incana: 3%, Pseudognaphalium_californicum: 0%, Croton_setigerus: 1%, Festuca_perennis: 15%, other: 33%, ",100%,,,", ",,1/6/2025 7:37:00 PM,,,1/6/2025 8:10:23 PM,CIR_FieldTech1,1/6/2025 8:10:23 PM,CIR_FieldTech1,,no,,0,0
157,40056ee2-5a6e-4e98-9183-5c1e1f2fe73b,WM-13,,45,25,30,0,100,0.5,,,no,no,106,"Bromus_diandrus: 45%, Avena_barbata_or_fatua: 55%, Erodium_botrys: 1%, ",100%,,,", ",,1/6/2025 9:07:00 PM,Difficult to differentiate grasses,TT BM PC,1/6/2025 9:20:57 PM,CIR_FieldTech1,1/6/2025 9:20:57 PM,CIR_FieldTech1,,no,,0,0
158,0fe3a44d-0480-4621-8b5e-4bac4a0d30ae,WM-11,,95,4,,84,,1,,,yes,yes,,"Sisyrinchium_bellum: 5%, Stipa_pulchra: 67%, Artemisia_californica: 2%, Sonchus_asper: %, Plantago_lanceolata: 5%, Baccharis_pilularis: 1%, other: 2%, other: %, Vicia_sativa: %, other: 10%, other: %, other: 7%, Hirschfeldia_incana: 1%, other: %, ",100%,,,", ",,1/6/2025 8:52:00 PM,Mystery juncus,"Wm, lh, em",1/6/2025 9:30:52 PM,CIRArcGIS,1/6/2025 9:30:52 PM,CIRArcGIS,,no,,0,0
159,ac6d339a-fdf5-40d4-87e1-9a990566811b,WM-12,,20,70,10,0,100,0.75,,,no,no,42,"Hirschfeldia_incana: %, other: %, Convolvulus_arvensis: %, Avena_barbata_or_fatua: %, Bromus_diandrus: %, : %, ",100%,34.46405183,-119.76717258,"34.46405183, -119.76717258",,1/6/2025 9:30:00 PM,,PC TT BM,1/6/2025 9:45:09 PM,CIR_FieldTech4,1/6/2025 9:45:09 PM,CIR_FieldTech4,,no,,-119.76717258,34.46405183
160,c83f3a64-e485-4b97-8f0b-bd723add4936,WM-9,,35,65,,,,1,,,yes,yes,11,"Ambrosia_psilostachya: 16%, Stipa_pulchra: 60%, Hirschfeldia_incana: 5%, Erodium_botrys: 2%, Avena_barbata_or_fatua: %, Festuca_perennis: 15%, Erodium_cicutarium: 2%, ",100%,,,", ",,1/6/2025 9:38:00 PM,,"Lh, wm, em",1/6/2025 9:55:35 PM,CIRArcGIS,1/6/2025 9:55:35 PM,CIRArcGIS,,no,,0,0
